TraitID,Trait
2,"Leaf texture (sclerophylly, physical strength, toughness)"
3,"Leaf angle (inclination, orientation)"
4,Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)
5,Plant bifurcation ratio
6,Root rooting depth
7,Mycorrhiza type
8,Plant nitrogen(N) fixation capacity
9,Root/shoot ratio
10,Leaf light absorption (extinction)
12,Leaf lifespan (longevity)
13,Leaf carbon (C) content per leaf dry mass
14,Leaf nitrogen (N) content per leaf dry mass
15,Leaf phosphorus (P) content per leaf dry mass
16,Leaf distribution along the shoot axis (arrangement type)
17,Leaf compoundness
19,Leaf mesophyll cell volume
20,Plant biomass and allometry: Crown (canopy) area per plant
21,Stem diameter
22,Leaf photosynthesis pathway
24,Bark thickness
26,Seed dry mass
27,Seed length
28,Dispersal syndrome
29,Pollination syndrome
30,Species tolerance to drought
31,Species tolerance to frost
33,Seed (seedbank) longevity
34,Seed germination stimulation
35,Species tolerance to windthrow
36,Crown (canopy) structure
37,Leaf phenology type
38,Plant woodiness
39,Litter decomposition rate
40,Leaf photosynthesis rate per leaf dry mass
41,Leaf respiration rate in the dark per leaf dry mass
42,Plant growth form
43,Leaf type
44,Leaf potassium (K) content per leaf dry mass
45,Stomata conductance per leaf area
46,Leaf thickness
47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)"
48,"Leaf density (leaf tissue density, leaf dry mass per leaf volume)"
49,Leaf photosynthesis: intercellular CO2 concentration
50,Leaf nitrogen (N) content per leaf area
51,Leaf phosphorus (P) content per leaf area
52,Leaf potassium (K) content per leaf area
53,Leaf photosynthesis rate per leaf area
54,Leaf respiration rate in the dark per leaf area
55,Leaf dry mass (single leaf)
56,Leaf nitrogen/phosphorus (N/P) ratio
57,Leaf nitrogen (N) content per leaf
58,Leaf phosphorus (P) content per leaf
59,Plant lifespan (longevity)
61,Species tolerance to waterlogging
62,Leaf inrolling of lamina
63,Stomata density
65,"Root type, root architecture"
66,Seed terminal velocity
67,Stomata index (number of stomata per epidermis cells)
68,Stomata cross-sectional area
69,"Litter SLA (leaf area per leaf dry mass, specific leaf area, 1/LMA of leaf litter)"
70,Litter nitrogen (N) content per litter dry mass
71,Litter phosphorus (P) content per litter dry mass
72,Litter carbon (C) content per litter dry mass
73,Litter lignin content per litter dry mass
74,Litter tannin content per litter dry mass
75,Litter water soluble carbon (C) content per litter dry mass
76,Litter cellulose content per litter dry mass
77,"Plant growth rate relative (plant relative growth rate, RGR)"
78,Leaf nitrogen (N) isotope signature (delta 15N)
79,Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)
80,Root nitrogen (N) content per root dry mass
81,Root nitrogen (N) isotope signature (delta 15N)
82,Root tissue density (root dry mass per root volume)
83,Root diameter
84,Root carbon (C) content per root dry mass
85,Leaf soluble components content per leaf dry mass
86,Root soluble components content per root dry mass
87,Leaf lignin content per leaf dry mass
88,Root lignin content per root dry mass
89,Leaf carbon (C) isotope signature (delta 13C)
90,Root carbon (C) isotope signature (delta 13C)
91,Root cellulose content per root dry mass
92,Leaf cellulose content per leaf dry mass
93,Root hemicellulose content per root dry mass
94,Leaf hemi-cellulose content per leaf dry mass
95,Seed germination rate (germination efficiency)
96,Seed oil content per seed mass
97,Seed protein content per seed mass
98,Seed storage behaviour
99,Fruit type
101,Leaf epidermis thickness
103,Leaf mesophyll thickness
104,Leaf mid vein thickness
105,Leaf mid vein support tissue thickness
106,Stomata conductance per leaf dry mass
107,Leaf mesophyll area per leaf area
108,Leaf mesophyll density (number of mesophyll cells per area)
109,Leaf area per plant dry mass (leaf area ratio; LAR)
110,"Plant biomass and allometry: Leaf dry mass per plant dry mass (leaf weight ratio, LWR)"
111,Leaf transpiration rate per leaf area
112,Seed germination lag time
115,Leaf structural dry matter per leaf volume
116,"Root dry mass per root volume (root density, root tissue density)"
117,Plant biomass and allometry: Plant dry mass per plant volume
118,Leaf structural dry matter per leaf dry mass
119,Plant biomass and allometry: Plant dry mass per plant fresh mass
120,Leaf volume
121,Leaf intercellular volume
123,Leaf intercellular volume per leaf volume
125,Leaf area per leaf fresh mass (specific leaf area (SLA or 1/LMA) based on leaf fresh mass)
126,Leaf soluble phenols content per leaf dry mass
128,Plant biomass and allometry: Stem dry mass per plant
129,Plant biomass and allometry: Leaf dry mass per plant
130,Plant biomass and allometry: Reproductive dry mass per plant
131,Plant biomass and allometry: Seed number per plant
132,Plant biomass and allometry: Seed mass per plant
134,Leaf photosynthesis rate per leaf transpiration (photosynthetic water use effinciency: WUE)
135,"Leaf photosynthesis rate per leaf nitrogen (N) content (photosynthetic nitrogen use efficiency, PNUE"
136,Plant biomass and allometry: Stem dry mass per plant dry mass per plant
137,Plant biomass and allometry: branch dry mass per plant dry mass
138,Seed number per reproducton unit
140,Shoot branching type; shoot branching architecture
142,Leaf perimeter
143,Leaf petiole length
144,Leaf length
145,Leaf width
146,Leaf carbon/nitrogen (C/N) ratio
147,Leaf phenols content per leaf dry mass
148,Leaf tannin content per leaf dry mass
149,Plant vegetative reproduction: distance between ramets
150,Litter carbon/nitrogen (C/N) ratio
151,Leaf carbon/phosphorus (C/P) ratio
152,Leaf palatability
153,Budbank height distribution
154,Leaf shape
155,Plant ontogeny: age of maturity (first flowering)
159,Seedbank type
163,Leaf fresh mass
164,Leaf chlorophyll content per leaf dry mass
165,Stem carbon/nitrogen (C/N) ratio
166,Coarse root carbon/nitrogen (C/N) ) ratio
167,Fine root carbon/nitrogen (C/N) ratio
169,Stem conduit density (vessels and tracheids)
170,Stem conduit cross-sectional area (vessels and tracheids)
171,Stem sapwood cross-sectional area per supported leaf surface area (Huber value)
172,Stem conduit lumen cross-sectional area (vessels and tracheids) per stem sapwood cross-sectional are
173,Leaf volume per leaf area
174,Leaf area index (LAI) total per LAI projected 
175,Leaf mesophyll cell thickness
176,Leaf cell lumen volume
177,Leaf mesophyll palisade parenchym volume per leaf spongiophyll volume
178,Leaf mesophyll palisade parenchym volume per leaf volume
179,Leaf mesophyll spongiophyll volume per leaf volume
180,Leaf epidermis volume per leaf volume
181,Leaf hypodermis volume per leaf volume
182,Leaf epidermis cell length
183,Leaf epidermis cell wall thickness
185,Leaf photosynthesis carboxylation capacity (Vcmax) per leaf dry mass (Farquhar model)
186,Leaf photosynthesis carboxylation capacity (Vcmax) per leaf area (Farquhar model)
187,Leaf nitrogen (N) fraction in Rubisco
188,Leaf water & osmotic potential: leaf osmotic potential at full turgor
189,Leaf water & osmotic potential: leaf osmotic potential at turgor loss
190,Leaf elastic modulus
191,Leaf water content apoplastic
193,Dispersal distance
196,Species strategy type according to Grime
197,Plant functional type (PFT)
199,Species tolerance to human impact
200,Species occurrence range: number of floristic zones
201,Plant nutrition mode (heterotrophy)
204,Flower insemination autogamous or xenogamous
205,Flower pollinator and type of reward
207,Flower color
208,Species reproduction type
209,Flower heterostyly
210,Flower number of pollen per ovule
211,Flower sexual self-incompatibility mechanism
212,Flower sex timing
213,Flower sex
215,Flower UV light reflectance
218,Species occurrence range: native vs invasive
221,Species genotype: chromosome base number
222,Species genotype: chromosome ploidy
223,Species genotype: chromosome number
224,Species genotype: chromosome cDNA content
227,Species tolerance to mowing
228,Species tolerance to grazing
229,Species tolerance to trampling
230,Species phyto-sociological group
231,Dispersal unit type
232,Dispersal unit shape
233,Dispersal unit dry mass
234,Seed heteromorphy
235,Dispersal unit thickness 
236,Dispersal unit width
237,Dispersal unit length
238,Seed thickness
239,Seed width
242,Species occurrence range: mode of introduction
243,Species occurrence range: neophyt status
244,Species occurrence range: endemism
245,Root exudation rate
246,Root porosity (fraction of root aerenchyma air space)
247,Root alcohol dehydrogenase (ADH) activity
248,Bark density (bark dry mass per bark volume)
249,Leaf aluminium (Al) content per leaf dry mass
250,Leaf boron (B) content per leaf dry mass
251,Leaf barium (Ba) content per leaf dry mass
